sensor_1R,sensor_2R,sensor_3R,sensor_4R,sensor_5R,sensor_1L,sensor_3L,sensor_4L,sensor_5L,acel1,giro1,acel2,giro2,gesto
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.65,-0.02,-8.85,-0.03,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.75,-0.12,-9.0,-0.02,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.89,-0.08,-9.02,-0.05,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.06,0.05,-9.08,-0.08,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.23,0.35,-9.02,-0.11,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.22,0.7,-9.09,-0.08,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.95,1.25,-9.2,-0.07,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.54,2.1,-9.63,-0.1,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.55,3.37,-9.71,-0.14,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.37,3.74,-9.16,-0.21,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.39,3.83,-8.75,-0.17,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.45,4.37,-8.74,-0.08,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.24,4.37,-9.08,0.07,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.94,4.37,-9.36,0.14,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,4.37,-9.1,0.06,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,3.22,-8.68,-0.0,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,2.3,-8.32,-0.0,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,1.68,-8.1,0.05,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,1.2,-8.11,0.16,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,1.3,-8.5,0.2,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,1.63,-9.07,0.2,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48,1.71,-9.3,0.15,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14,1.27,-9.4,-0.01,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.68,-9.19,-0.13,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.37,0.54,-8.75,-0.21,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.51,0.78,-8.73,-0.24,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.26,0.77,-8.89,-0.17,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62,0.57,-8.89,-0.07,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05,0.05,-8.76,-0.04,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,-0.33,-8.84,-0.02,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.47,-0.15,-8.89,0.12,Oi
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.37,-0.4,-9.02,0.13,Oi
